content,syllabus
uab cas department computer science course prerequisites search go uab quicklinks uab home academic calendar accessibility adminsystems apply askit blazer express blazernet bookstore campus calendar campus map canvas departments directory email emergency b alert employee resources employment give uab privacy uab elearning items department quicklinks department homefaculty directorysoftware resourcesmajors minorscourse catalog undergraduate apply undergraduate graduate programsgraduate schoolcourse catalog graduate apply graduate contact usgive software resources banner academic programs homeabout usacademic programsundergraduategraduatepeoplefaculty directoryaffiliate facultystaff directoryoutstanding alumniresearchresearch clustersresearch labsundergraduate researchoutreachnewsevents calendargivethe college undergraduate programsb csb csb digital forensicsthe minorresearch honorscourse prerequisitesgraduate level coursescourse catalogclass schedulesadvisingtutoringcareersscholarshipssoftware resourcescomputer recommendationsinternational studentsacm student groupcontact us home undergraduate programs course prerequisites print course prerequisites sure prerequisites need take signing level courses always recommend asking academic advisor sure also refer prerequisite map department simplified prerequisite structure help progress smoothly major necessary background succeed class map applies b b computer science programs cs introduction computation prerequisite level courses cs object oriented programming cs discrete structures prerequisites level courses cs algorithms data structures calculus prerequisites level courses cases prerequisites accessibility disclaimer uab web pages policy contact us copyright,no
becoming cs major computer science department princeton university skip main content quick links cs guide directory contact department computer science menu search undergraduate programadvisors contacts becoming cs majorprerequisites requirements bse vs ab certificate programcourse study requirements sample interdisciplinary tracks non engineering majors interdepartmental committee independent work thesesimportant steps deadlines guidelines useful information undergraduate research topics independent work seminars independent work seminar offerings spring past independent work seminar offerings study abroad get involvedmailing lists policies princeton acm society women engineers women computer science pwics undergraduate cs council jobs life outside classinterviewing campus recruiting graduate programadmissions requirements breadth requirements faq fpo checklist financial aid general examination graduate degrees offered preliminary fpo travel reimbursement policy advanced topics recently taught coursescourse schedule course catalog researchresearch areas research projects interdisciplinary programs technical reports computing facilities peoplefaculty researchers research instructors technical staff administrative staff graduate students undergraduate students graduate alumni aboutcontact us visit us news eventsnews events spotlight stories directory administrative information job openings emergency action plan home undergraduate program becoming cs major printer friendly website contains much information consider deciding whether become cs major browse pages listed right answers questions various requirements cs department princeton actually begin process becoming cs major whether newly declaring major transferring cs different discipline need make appointment see class advisor want get know need sign degree program cs class advisors authorized sign department representative official form let major take two copies course enrollment worksheet meeting well copy course history printout go score student center academics view course history see class advisor listing people help number members department available consider options whether already concentrating computer science thinking cs advisor class best person discuss requirements plans study knows rules applying class concentrator familiar record two official representatives department office dean college department representatives dep reps brian kernighan room bwk cs princeton edu andrea lapaugh room aslp cs princeton edu brian kernighan departmental representative pre majors non majors study abroad freshman someone else yet officially cs major need information cs program either see brian kernighan appropriate cs class advisor andrea lapaugh guardian department rules department representative majors includes oversight honors awards students leaving major already cs major issue think class advisor handle see exception study abroad see brian kernighan class advisor unavailable extended period may also see questions sign add drop forms current cs majors excellent source information life department inside story courses getting involved page lists several groups people talk like pwics princeton women computer science cs undergrad council acm student group groups also set fun get togethers time time last least colleen kenny room ckenny princeton edu undergraduate coordinator great person answer many questions might logistics department works also copies forms information relevant undergrads frequently asked questions need make appointment see departmental representative become major answer make appointment see class advisor early need begin taking cos courses might want cs major answer expect cs majors enter junior year taken three prerequisite cos courses beginning freshman year possible major cs without taking cos courses freshman year involve extra heavy load sophomore spring majoring cs cos end sophomore year extremely difficult allowed certain circumstances please see prerequisites page details difficulty completing late start cs major even slightest interest cs major urge take cos least cos end sophomore year fact think would great every student university took cos end fall sophomore year know cs offer much would like take whether want become cs major discovered strong interest computer science late princeton career recommend consider applications computing certificate way load much cs reasonably fit schedule constrained specifics cs major requirements like computers rather major something like history mechanical engineeringanswer perhaps join certificate program applications computing requires four cs courses beyond cos plus senior thesis home department independent work incorporates computing way see director program jp singh room get late breaking information computer science department answer department email list cs majors often sends announcements reminders email also every cs senior mailbox nd floor computer science building directly across tea room bulletin boards first second floors announcements undergrads home page department website contains general department news events navigation advisors contacts becoming cs major prerequisites requirements bse vs ab certificate program independent work theses study abroad get involved jobs life outside class contacts program coordinator colleen kenny room computer science ckenny cs princeton edu department representatives brian kernighan room computer science bwk cs princeton edu cos pre majors cos non majors transfers cos study abroad andrea lapaugh room computer science aslp cs princeton edu cos majors transfers cos additional resources formal cos b degree requirements formal cos b e degree requirements ugrad independent work research topics princeton campus life apply princeton engineering tours prospective undergraduates career services follow us undergraduate programadvisors contacts becoming cs major certificate program independent work theses study abroad get involved jobs life outside class graduate programadmissions requirements breadth requirements faq fpo checklist financial aid general examination graduate degrees offered preliminary fpo travel reimbursement policy advanced topics recently taught coursescourse schedule course catalog researchresearch areas research projects interdisciplinary programs technical reports computing facilities peoplefaculty researchers research instructors technical staff administrative staff graduate students undergraduate students graduate alumni aboutcontact us visit us news events directory administrative information job openings emergency action plan trustees princeton university terms use privacy policy site map,no
undergraduate major chinese language approved office cooperation exchange office taiwan hongkong macao affairs schoolhome home prospective student application scholarship tuition fees prospective scholar potential position living collaboration download chinese new online application current position prospective student application undergraduates undergraduates undergraduate major chinese language approved information source original release date view count according recent announcement ministry education undergraduate major chinese language first enroll foreign students school successfully approved another key breakthrough education foreign students school become one universities chinese government scholarship undergraduate major chinese language year educational system specifically aimed foreign students shares right granting undergraduate graduation certificate bachelor degree arts different traditional chinese major tcfl teach chinese foreign language train overseas chinese teaching faculties china national office teaching chinese foreign language officially compiled issued teaching syllabus undergraduate major chinese language stipulates clearly teaching objects training objectives teaching contents teaching principles specific teaching requirements aspects country increasing support countries along st century maritime silk road foreign students want learn chinese get degree leading emergence mandarin fever university granted relative majors baffling development foreign students education school present education foreign students china blessed important period opportunities inevitable choice set chinese language major foreign students university depend established recruitment channels enroll applied high end foreign language talents enrich international pattern school running promote ability serving state external development strategy leap forward progress education foreign students next article enrollment international students copyright fuzhou university office cooperation exchange faomail fzu edu cn,no
inclusivity programming western usc navigation menu home student supportstudent support core betterment student experience cannot serve mission enhance quality life students first ensure students feel welcomed accepted represented supported institution wellness education center peer support cernter inclusivity programming health plan transportation governancewe believe students power change world council meetings usc governance university governance documents elections advocacyfirst foremost usc exists represent students advocate students committed advocating campus levels government behalf ever changing student body advocacy policies ousa university affairs ongoing surveys provincial federal affairs meet team get involvedthe usc offers hundreds paid volunteer positions students western include internships business managers working closely student executive volunteering one many programming service files core usc always student leadership decision making governance associates coordinators interns creators hype team london community jobs opportunities student lifeone largest areas usc programming services enhance lives western students element improving student experience ensuring relevant services programming students access usc services clubs events programming orientation usc grants program get touch inclusivity programming home inclusivity programming regardless marginalizing identifying factors belong western reinforce value equality usc committed promoting inclusivity programming goal service provide western community awareness social issues support marginalized groups advocacy initiatives improve lives undergraduate students volunteer opportunities interested students support services distinct offered club system work create inclusive informed caring university community find supports specifically aimed address issues promote representation terms lgbtq resources gender cultural groups accessibility campus pridewestern support lgbttq issues allywestern creating inclusive university campus ethnocultural services making culturally inclusive university community accessibility creating campus accessible women issues network recognizing representing rectifying gender inequalities areas involvement wec campus wellness support peer support campus resource ally peer support inclusivity belong western health plan undergraduate supplemental health coverage transport ltc bus pass mustang express shuttle services happening month mar get tested mar u mar relay life mar best dance crew mar st paddy fest apr purplefinale view full calendar follow us social media facebook twitter instagram youtube search search contact us ucc building university western ontario london ontario n k popular paid volunteer opportunities usc mobile app event tickets movie times operations servicesthe wave spoke western film purple store creative services designed elegant themes powered wordpress,no
undergraduate program skip main content skip main navigation university home myucsc people calendars z index search uc santa cruz menu economics undergraduate majors minor qualifications class schedule course catalog advising field study program graduate ph job market candidates job market candidates masters program admissions ph program ph admissions faculty faculty field news events support us home academics undergraduate program undergraduate programaerial view uc santa cruz campus understanding economics vital component liberal arts education necessity anyone interested areas business environmental policy welfare reform international trade finance globalization programs offered ucsc economics department designed acquaint students broad range issues studied economists tools use department offers three majors two combined majors economics business management economics global economics economics mathematics economics environmental studies minor field study program minor economics also available combined major economics mathematics combined major economics environmental studies economics curriculum begins introductory level specific high school preparation required economics majors study substantial core economic theory mathematical statistical methods able choose among wide variety upper division electives economics majors may combine upper division elective choices variety ways achieve specialization number possible areas see alsoundergraduate research opportunities academic programsnewslettersundergraduate programundergraduate handbookmajors minoradvisingdeclaring major minorcareersfield studychecklists forms sample plansprogram learning outcomestransfer studentsgraduate programcoursesstudent organizationsinstructor office hours contact feedback uc santa cruz high street santa cruz ca regents university california rights reserved accreditation non discrimination policy employment privacy policy terms use sexual violence prevention response last modified august,no
undergraduate bachelors courses university nottingham ningbo china browser support script browser support script browser support script browser support script browser support script browser support script browser support script browser support script browser support script browser support script uk china malaysia university nottingham ningbo china search search section study research global schools departments university life root university nottingham ningbo china study us undergraduate courses study us homea global perspectivethe world campus undergraduate courses tuition fees financescholarshipshow study entry requirementsminimum age requirementhow applyfrequently asked questions faqs useful downloads postgraduateresearch programmestraining programmesmeet uscareersstudent videosmake enquirysupport servicespersonal tutorials print text resize intranet undergraduate bachelors courses undergraduate bachelors courses three four year programmes students mainland china international students study four year programme including preliminary year year one spent developing english language academic writing skills direct entry qualifying year sometimes referred year two entry undergraduate degree possible whose school qualifications equivalent level international baccalaureate ib similar students entering year complete preliminary year course undergraduate courses offer opportunity spend final two years studying uk campus studying four year courses referred courses three year programmes called search z undergraduate courses aerospace engineering beng architectural environment engineering beng architecture beng chemical engineering beng chemistry bsc civil engineering beng computer science bsc computer science artificial intelligence bsc economics bsc electrical electronic engineering beng english language applied linguistics ba english language literature ba english international business ba environmental engineering beng environmental sciences bsc european studies ba finance accounting management bsc international business economics bsc international business management bsc international business communications studies ba international business french german spanish japanese chinese ba international communications studies ba international communications studies chinese ba international economics trade bsc international studies ba international studies french german spanish japanese chinese ba mathematics applied mathematics bsc mechanical engineering beng mechatronic engineering beng product design manufacture beng statistics bsc applyfees finance taikang east road ningbo chinat f university nottingham ningbo china rights reserved icp copyright privacy policy terms conditions campus map contact us jobs access email browser support script browser support script browser support script,no
choose edinburgh university edinburgh skip main content toggle section links study global visit research news alumni local staff students schools departments myed search search undergraduate study entry undergraduate study entry menuundergraduate study entry homewhy choose edinburgh world leading universityworld class citycareers employabilitylearn bestinspiring teachingglobal student communityimagine could dolifelong communitysocial responsibility sustainability home study undergraduate study choose edinburgh contact us choose edinburgh join best students around globe one world top universities world leading university founded university edinburgh one world top universities world class city scotland inspiring capital backdrop studies irresistible blend history natural beauty modern city life careers employability ranked top uk top world employability graduates invest future beyond end programme learn best student edinburgh learn world leading researchers inspiring teaching committed high quality innovative teaching help reach full potential global student community diverse global community offers students opportunity learn world imagine could watch video series find study edinburgh lifelong community edinburgh graduate opportunity stay involved university fellow students social responsibility sustainability ensure social ethical environmental concerns influence decision making way operate day day latest emerging global employability university ranking article published mar university edinburgh terms conditions privacy cookies modern slavery website accessibility freedom information publication scheme myed login university edinburgh charitable body registered scotland registration number sc vat registration number gb acknowledged uk authorities recognised body granted degree awarding powers unless explicitly stated otherwise material copyright university edinburgh cms login,no
courses study dit site uses number third party cookies continuing use site consent use cookies accordance cookie policy ok current studentsfor stafflibrarylocations mapcontacts institi id teicneola ochta bhaile tha cliath dublin institute technology study dit research enterprise colleges schools news events study dit study dit research enterprise colleges amp schools news amp events undergraduate dit programmes coursesentry requirementshow applyfees grants scholarshipsfaqs undergraduatesinformation parentsinformation guidance counsellorssubmission portfoliomaths competency testsuitability test interview portfolio audition postgraduate dit taught programmeshow applyfees fundingfaqs postgraduatespostgraduate researchconversion programmesenglish language requirements part time programmes courseshow applyfeesabout part time studyfaqs part time studentscontact school springboard springboardprogrammes coursesam eligible apply office admissions undergraduate admissionsschool liason officerpostgraduate admissionsadmissions teaminternational admissionsuseful downloadslive online chat students international students research research themesresearch institutes centres groups research resources research supportmeet teamintegrity ethicshorizon news events newsevents calendarpublicationsresearch news magazine enterprise innovation enterprise hubcommercialisationstudent enterprise competition graduate research school college arts tourism college business college sciences health college engineering built environment profile organisation campus facilities dit foundation website help dit publication scheme news events publications press media social media directory know dit ranked top third level educational bodies internationally dit highly regarded ireland top institute graduate employability dit listed among world top world coming centres learning dit student population come outside ireland study dit undergraduate programmes courses courses computer science eola ocht r omhaireachta dt computer science ever wonder emails get sent google works develop computer game interested understanding goes behind scenes amazon ebay want know mp file actually podcasting itunes work programme well answering questions programme prepare work software application developer variety commercial industrial environments equip understanding skills needed exciting constantly changing industry career opportunities graduates programme uniquely qualified wide range computer development areas may mainstream computer industry also occur stimulating leading application areas internet applications development games development enterprise systems e commerce music technology systems technology systems security knowledge management data mining graduates programme also well qualified pursue postgraduate studies msc mphil phd levels options completion students reached appropriate honours standard may access range masters degrees dit elsewhere higher education learning outcomes study programme spend early years course gaining thorough grounding fundamentals computer science spend middle part programme developing highly relevant skills software design development final year opportunity specialise knowledge skills variety areas including enterprise systems development learn create large scalable safe secure reliable software systems using latest technologies applied intelligence learn advanced methods computer science applied business e g predicting trends elsewhere e g robotics digital games development simulation learn design implement computer games simulated environments model novel complex worlds characters third year programme focused experiential learning participate business enterprise module may opt participate highly successful work placement programme work placement programmes success due close liaison developed maintained industry partners throughout history school alternatively work community organisations innovative service learning module whereby take responsibility significant ict projects community school institutional links many industrial leaders oracle microsoft ibm datalex computer associates sponsorship work placement project co operation module listing year one programming web development computer architecture many subjects give solid foundation computer science year two object oriented programming databases software engineering human computer interaction operating systems subjects give relevant practical skills year three work placement service learning international exchange graphical user interface programming client server programming cloud computing games logic design year four specialise study area enterprise systems development applied intelligence digital games development simulation study abroad options yes students apply participate international exchange second half third year part experiential learning information school computing barbara byrne e soc admin dit ie w www dit ie computing students say got great internship third year able learn lots large systems making ready career college value one graduates course help develop concrete skills reflected state art technologies also offered opportunity obtain industrial experience part curriculum heavy emphasis gaining practical applicable skills today marketplace however complemented well theory based modules allow take step back technical details understand something particular way found lecturers approachable helpful times learning environment open tutorials often involved lively debates discussions also learned cutting edge technologies guidance highly knowledgeable approachable staff apply apply st year fetac entry details apply nd rd th yr non eu international key course info cao code dt qualification awarded bsc computer science level bsc eola ocht r omhaireachta leibh al duration years type programme honours degree number places approx location dit kevin street entry requirements cao points minimum number subjects honours h minimum grade maths eng irish h h qqi plc level minimum entry requirements qqi plc level entry route programme available please read module details course delivered school computing share related links international students accommodation campus facilities contact admissions office prospectus download undergraduate prospectus contact us dit admissions office admissions dit ie stay connected undergraduate team follow us twitter find us facebook find us youtube information prospective studentsinternational studentsincoming studentscurrent studentsstaffalumnibusiness entrepreneursdonorsmedia information instituteprogrammes coursesphd opportunitiescampus facilitiesresearch ditdit foundationjob opportunitiesoifig na gaeilgeaccess civic engagement people places staff contactslocation mapscolleges schoolsoffices departmentslibrarylearning teaching technology centre online services student staff emailwebcoursestimetableslibrary cataloguemodule cataloguemore online services z index z undergraduate coursesa z postgraduate coursesa z part time coursesa z studentsa z staff connect dit home contact sitemap z help cookie privacy statement member european university association dublin institute technology,no
b international public health unsw uac uac undergraduate b international public health unsw sydney undergraduate course details table campuscourse code fee typepattern attendance previouscut offcourse start date online csp f p nc jan jul apply uac areas study global health health policy practice health promotion indigenous health infectious diseases mental health public health professional recognition degree aligns us council education public health accreditation criteria ensure competitiveness north american market largest market undergraduate public health degrees ensure students complete accredited program employment postgraduate education career opportunities roles public health epidemiology health protection health promotion surveillance prevention graduates may also pursue research career public health seek higher studies graduate medical program potential employers include government agencies eg health departments research centres multinationals development agencies eg un world bank cdc ahrc msf additional information program taught partnership arizona state university part plus alliance students complete entire program online courses offered unsw asu towards degree course updates check course search uac app throughout admissions period course updates including new cancelled courses honours unsw studying honours offers chance develop research professional skills guided staff passionate research development new researchers honours integral component many unsw courses may offered additional year study meritorious students fees charges visit unsw sydney website current fee information information visit unsw sydney website help key abbreviations uac application offer round dates universities admissions centre nsw act pty ltdacn abn,no
undergraduate programs faculty social sciencesskip main content keyword search search tools z campus index ask mcmaster virtual tour get mcmaster faculty staff directory mosaic faculties degroote school business faculty engineering faculty health sciences faculty humanities faculty science faculty social sciences students current students future students international students student success centre mcmaster viewbook centre continuing education campus life alumni athletics libraries mugsi research give mcmaster mcmaster university menu search mcmaster mcmaster z index academics overview undergraduate studies programs graduate studies programs part time studies continuing education departments faculties alumni overview alumni association alumni events services benefits programs alumni alumni networking keep touch homecoming alumni weekend students young alumni giving mcmaster discover mcmaster overview campus fast facts governance history mcmaster get mcmaster policies procedures guidelines president message provost vice president academic strategic plan teaching learning mcmaster future students overview undergraduate graduate studies mba program continuing education parents student services virtual tour library overview libraries contact us course reserves library catalogue library services account book renewal research overview canada research chairs endowed industrial chairs ethics human research mcmaster innovation park office international affairs partnership opportunities research centres institutes research policies procedures science city current students overview student affairs chaplaincy human rights equity information technology office academic integrity ombuds parking transit registrar safety security student financial aid scholarships student accounts graduate students part time students mcmaster students union clubs events faculty social sciences home future students current students research news events resources social contact us undergraduate programs https socialsciences mcmaster ca undergraduate https socialsciences mcmaster ca site logo logo mac social sciences svg undergraduate programs department anthropologyb anthropologythe year ba program provide students foundation field anthropology main subfields learn moredepartment anthropologyhons b honours anthropologythe ba honours program provide students developed understanding discipline anthropology main subfields emphasis placed critical thinking communication problem solving identified potential employers key skills needed successful employment learn moredepartment anthropologyminorminor anthropologythe minor anthropology provides students disciplines opportunity learn anthropological research cross cultural differences provides broad understanding experience human learn moredepartment anthropologyminorinterdisciplinary minor archaeologythe interdisciplinary minor archaeology based archaeology archaeology related courses offered school geography earth sciences departments classics anthropology learn moredepartment anthropologyhons b combined honours anthropology another subjectstudents graduate double major anthropology another subject learn moredepartment economicshons b honours economics computer sciencethis program provides students solid foundation computer science exposure field economics thereby opening major opportunities economist programming background learn moredepartment economicsb bachelor arts economicsthe ba economics program year program designed provide general education emphasis skills knowledge required understand economy although intended prepare students specific careers degree continues attractive wide range employers learn moredepartment economicshons b combined honours economics another subjecteconomics combined programs faculty social sciences faculty humanities learn moredepartment economicshons b honours economics specialist optionhonours ba specialist option stream provides solid grounding economics honours ba stream minimal highly specific differentiation specialist option requires additional econometrics course necessary preparation econometrics courses taken economics programs learn moredepartment economicshons b honours bachelors arts economicsthe ba honours economics program four level program offers challenge advanced work economics learn moredepartment economicsminorminor economicsstudents enrolled four five level program another subject may pursue minor economics learn moredepartment economicshons b honours economics mathematicsfor motivated student honours economics mathematics program gives benefits two cultures two distinct modes thought important aspect developing critical thinking today job market learn moredepartment health aging societyhons b combined honours gerontology another subjectthis degree program brings multidisciplinary approach study aging designed foster understanding aging issues within across different contexts issues ranging individual experience aging process societal complexities aging population examined within canadian context broadly learn moredepartment health aging societyhons b honours bachelor arts health studiesthis degree program focuses significance health illness cultural context perspectives social sciences humanities brought bear exploring diverse meanings practices associated health health care attention given different theoretical approaches understanding health individuals groups communities contemporary historical perspectives learn moredepartment health aging societyb bachelor arts health aging societyhealth aging issues become complex important challenging individuals institutions societies around world number proportion older people increasing individuals institutions societies face new opportunities new challenges number areas including family dynamics social relationships work retirement health health care social cultural experience aging learn moredepartment health aging societyminorminor mental health addiction societynew minor mental health addiction provides students opportunity develop depth understanding relationship mental health addiction society involves examining links mental health wider social processes including marginalization construction deviance social determinants health students also gain solid understanding mental illness ways social change non biomedical interventions harnessed address issues related mental health addiction promote well learn moredepartment health aging societyminorminor health aging societylearn moredepartment health aging societyhons b honours bachelor arts gerontologythis degree program brings multidisciplinary approach study aging designed foster understanding aging issues within across different contexts issues ranging individual experience aging process societal complexities aging population examined within canadian context broadly learn moredepartment health aging societyhons b combined honours health studies another subjectthis degree program focuses significance health illness cultural context perspectives social sciences humanities brought bear exploring diverse meanings practices associated health health care attention given different theoretical approaches understanding health individuals groups communities contemporary historical perspectives learn moredepartment health aging societyhons b combined honours gerontology health studiesstudents graduate double major much gerontology health studies curriculum common still flexibility take many interesting electives use elective units towards completion minor one three certificates applied behaviour analysis business studies leadership management profit sector learn moredepartment political sciencehons b honours bachelor arts political sciencean undergraduate education political science traditionally led students number directions careers government services municipal regional provincial federal journalism media communications support services politicians political assistants consultants researchers public affairs managers international organizations graduates continues studies professional schools law social work colleges education learn moredepartment political sciencehons b honours political science specialization public law judicial studiesthis specialization examines role constitutional administrative criminal international laws play limiting controlling use power governments also critically examines extent judiciary courts key players learn moredepartment political scienceb bachelor arts political sciencethe bachelor arts degree political science provides broad exposure politics law government domestic international levels less intensive basis honours degrees students pursue general interest degree specialize one five areas study including political theory canadian politics comparative politics developed developing countries international relations public policy students also upgrade intensive honours ba suits academic interests abilities learn moredepartment political scienceminorminor political sciencelearn moredepartment political scienceminorminor justice law orderlearn moredepartment political scienceminorminor public leadershipnew fall minor intended provide students strong theoretical practical applied understanding leadership role political public actors play public domain democratic non democratic states achieve policy goals affect positive social change impact policy choices governments students prepared studies careers politics government public policy community organization activism education human rights law learn moredepartment psychology neuroscience behaviour pnb hons b honours bachelor arts religious studiesthe ba honours program offers students deeper understanding discipline religious studies subfields asian religious traditions biblical studies western religious traditions including islam christianity judaism canada multicultural society increasingly globalized world strong grounding critical thought analysis essential navigating understanding variety religious issues across cultures learn moredepartment religious studieshons b combined honours religious studies another subjectstudents graduate double major religious studies another subject learn moredepartment religious studiesb bachelor arts religious studiesthe year ba program provides students foundation field religious studies main subfields help prepare work canada multicultural society learn moredepartment religious studiesminorminor religious studiesstudents learn theories religion intersection religion culture religious phenomena around world learn moredepartment religious studiesminorminor japanese studiesstudents develop working knowledge japanese language study culture people society japan learn moredepartment religious studiesminorminor religion diversitystudents develop understanding religious diversity contemporary canada beyond learn moredepartment sociologyb bachelor arts sociologysociology study individuals groups patterned behaviors study social processes social institutions areas family education health social inequality immigration race ethnic relations paid unpaid work politics goal sociology help explain relationship personal experiences wider organization society learn moredepartment sociologyhons b combined honours bachelor arts sociology another subjectsociology study individuals groups patterned behaviours study social processes social institutions areas family education health social inequality immigration race ethnic relations paid unpaid work politics goal sociology help explain relationship personal experiences wider organization society learn moredepartment sociologyhons b honours bachelor arts sociologysociology study individuals groups patterned behaviours study social processes social institutions areas family education health social inequality immigration race ethnic relations paid unpaid work politics goal sociology help explain relationship personal experiences wider organization society learn moredepartment sociologyminorminor sociologysociology study individuals groups patterned behaviours study social processes social institutions areas family education health social inequality immigration race ethnic relations paid unpaid work politics goal sociology help explain relationship personal experiences wider organization society learn moredepartment sociologyhons b honours sociology specialist option b sociology study individuals groups patterned behaviours study social processes social institutions areas family education health social inequality immigration race ethnic relations paid unpaid work politics goal sociology help explain relationship personal experiences wider organization society learn moredepartment sociologyhons b combined honours ba sociology specialist option another subjectsociology study individuals groups patterned behaviours study social processes social institutions areas family education health social inequality immigration race ethnic relations paid unpaid work politics goal sociology help explain relationship personal experiences wider organization society learn morefaculty social sciencesu cert leadership management profit sector certificatestudents benefit real life experiences instructors ceos directors profit sector skills transferable across broad spectrum within private public spheres learn morefaculty social sciencesu cert business studies certificatethe business certificate courses exposes students core business processes courses taught professionals experience field areas focus human resources marketing accounting financial management learn morefaculty social sciencesu cert applied behaviour analysis certificatethe applied behaviour analysis certificate designed social sciences students interested pursuing careers areas require understanding evidence based treatments implementation evaluation behavioural strategies courses introduce students skills knowledge needed work persons autism clinical populationslearn morehonours social psychologyhons b honours bachelor arts social psychologyhow people come people think influence relate one another individuals experience social realities broad questions social psychology strives answer among themes social psychology students explore self presentation impression management identity emotions social interaction conformity obedience deviance labeling collective action social movements learn moreindigenous studies programhons b honours indigenous studiesour indigenous studies program brings richness depth indigenous knowledge cultures classroom program designed indigenous non indigenous students allows students explore intellectual traditions many indigenous peoples emphasis haudenosaunee anishinaabe southern ontario students increase understanding awareness respect indigenous knowledge spirituality social political experience learn moreindigenous studies programhons b combined honours indigenous studies another subjectlearn moreindigenous studies programb combined ba indigenous studies another subjectstudents able complete combined degree indigenous studies consists units indigenous studies courses learn moreindigenous studies programminorindigenous studies minorcompleted using available elective credits honours degree another subject learn moreinstitute globalization human conditionminorinterdisciplinary minor globalization studiesthe minor globalization studies provides students opportunity explore complex idea globalization multi disciplinary perspective students complete courses humanities social sciences faculties cover wide variety themes related globalization able tailor course selection according interests learn moreinterdisciplinaryminorminor jewish studiesstudents explore jewish studies multidisciplinary field devoted study judaism jewish history thought culture communities learn moreinterdisciplinaryminorinterdisciplinary minor social justice inclusive communitiesnew fall minor social justice inclusive communities provides students opportunity understand structures processes underlying social marginalization explore range ways people communities work bring social justice equity inclusion learn moreinterdisciplinaryminorinterdisciplinary minor muslim studiesnew fall minor muslim studies provides opportunity study muslim beliefs practices thought history variety geographic locales timeframes learn moreschool geography earth scienceshons b minor geographythe minor geography allows students disciplines explore relationship human societies built natural environments inhabit learn moreschool geography earth scienceshons b honours geographyhuman geography examines people individually collectively interact natural built environments around program provides students depth knowledge human geography emphasis one five key subfields environment gis spatial analysis health population economic geography urban geography learn moreschool geography earth scienceshons b combined honours geography another subjectthis degree program allows students complete double major human geography another subject students pair human geography program program social sciences humanities learn moreschool geography earth scienceshons b minor environmental studiesthe minor environmental studies allows students disciplines learn complex relationship human development environmental change learn moreschool geography earth scienceshons b honours psychology neuroscience behaviourpsychology neuroscience behaviour pnb heterogeneous field utility vast range professions pnb programs offered faculty social sciences b programs students interested fields focus psychological aspects human behaviour learn moreschool geography earth sciencesb bachelor arts geographythe year ba program provides students solid grounding human geography environmental studies students select wide range geography courses levels ii iii tailor choices suit interests learn moreschool geography earth scienceshons b honours geography environmental studiesthis program combines general training human geography sustained focus environment available courses focus questions sustainability energy society environmental assessment include courses either natural science social science perspectives learn moreschool geography earth scienceshons b minor gisthe minor gis exposes students disciplines key analytical technique geography students learn capture store manipulate analyze represent geographical data learn moreschool labour studiesb bachelor arts labour studiesour ba program innovative interdisciplinary nature mcmaster school labour studies widely recognized among best world classes students engage many varied issues animate contemporary worlds work learn moreschool labour studieshons b honours ba labour studiesour honours ba graduates high rates success securing careers labour law community development industrial relations health safety lawyer mediator disability case worker civil servant community development policy analysis teaching occupational health safety labour research labour organizing honours students required complete either honours thesis field experience field experience allows sharpen research skills gaining practical experience working union government agency private employer learn moreschool labour studieshons b combined honours ba labour studiesstudents graduate double major labour studies another subject learn moreschool labour studiesminorminor labour studieswork central health physical mental economic well society economy short work affects everyone minor labour studies strong complement almost undergraduate degree program provides interdisciplinary well rounded view contemporary worlds work learn moreschool labour studiesu cert labour studies joint certificate hamilton brantford district labour councilsthe mcmaster school labour studies offered first certificate courses currently offer certificate labour studies well two joint certificates partnership brantford hamilton district labour councils learn moreschool labour studiesu cert unifor mcmaster labour studies certificateunifor mcmaster labour studies courses designed specifically unifor members education important role building knowledgeable membership workplace leadership unifor mcmaster program designed learning approach built upon commitment participants translates respect prior experience skill activismlearn moreschool social workb w honours bachelor social workstudents completed level program apply honours bsw program school social work aims provide milieu learning resources students undergraduate level prepare general practice social work study based search principles social justice preparation general practice social work requires development competence effecting change variety situations affecting individuals families groups organizations communities broader society based knowledge social structure human behaviour social welfare services social work methods learn moreschool social workb w bachelor social work post degree students completed undergraduate degree recognized university apply b w post degree program school social work aims provide milieu learning resources students undergraduate level prepare general practice social work study based search principles social justice preparation general practice social work requires development competence effecting change variety situations affecting individuals families groups organizations communities broader society based knowledge social structure human behaviour social welfare services social work methods learn moreschool social workb w indigenous pathways bsw programslearn moreschool social workb w preparing critical practice child welfare pathway bsw programslearn academic advising undergraduate programs graduate programs research faculty resources resourcesjob postingsmcmaster social sciences societymosaic social media instagramtwitter facebook mailing address faculty social sciences mcmaster university kenneth taylor hall rm main street west hamilton ontario canada l contact information contact us ext general inquiries socscfac mcmaster ca twitter facebook youtube flickr dailynews mcmaster university main street west hamilton ontario l l contact mcmaster university terms use privacy policy mcmaster university,no
